Course,Title,CourseType,Instructor,StartDate,EndDate,Weekdays,StartTime,EndTime,Location,RoomType,Enrolled,Credits
ARB 0005 01,Colloquial Arabic: Levantine,LEC,Zendah Souhad B.,9/2/14,12/8/14,F,9:30 AM,10:20 AM,M086 005,Classroom,7,1
ARB 0005 01,Colloquial Arabic: Levantine,LEC,Zendah Souhad B.,9/2/14,12/8/14,TW,9:05 AM,10:20 AM,M086 005,Classroom,7,1
ARB 0021 A,Arabic ReadingCompConv,LEC,Zendah Souhad B.,9/2/14,12/8/14,F,10:30 AM,11:20 AM,M086 005,Classroom,13,1
ARB 0021 A,Arabic ReadingCompConv,LEC,Zendah Souhad B.,9/2/14,12/8/14,MW,10:30 AM,11:45 AM,M086 005,Classroom,13,1
ARB 0021 B,Arabic ReadingCompConv,LEC,Zendah Souhad B.,9/2/14,12/8/14,M,6:00 PM,6:50 PM,M086 005,Classroom,14,1
ARB 0021 B,Arabic ReadingCompConv,LEC,Zendah Souhad B.,9/2/14,12/8/14,TR,4:30 PM,5:45 PM,M086 005,Classroom,14,1
ARB 0055 01,Cult Hist Mod Mid East,LEC,Rastegar Kamran,9/2/14,12/8/14,TR,3:00 PM,4:15 PM,M086 012,Classroom,18,1
ARB 0091 01,Special Topics,LEC,Abowd Thomas,9/2/14,12/8/14,W,6:30 PM,9:00 PM,M086 102,Classroom,9,1
ARB 0091 02,Special Topics,LEC,Abowd Thomas,9/2/14,12/8/14,T,6:30 PM,9:00 PM,M086 107,Classroom,8,1
ARB 0091 03,Special Topics,LEC,Abowd Thomas,9/2/14,12/8/14,R,6:30 PM,9:00 PM,M086 116,Classroom,13,1
ARB 0091 04,Special Topics,LEC,Roustom Kareem J,9/2/14,12/8/14,M,6:00 PM,8:30 PM,M195 271,Lecture Room,1,1
ARB 0121 01,Advanced Mod Std Arabic,LEC,El Nady Rabab,9/2/14,12/8/14,M,4:30 PM,5:20 PM,M086 005,Classroom,8,1
ARB 0121 01,Advanced Mod Std Arabic,LEC,El Nady Rabab,9/2/14,12/8/14,TR,3:00 PM,4:15 PM,M086 005,Classroom,8,1
ARB 0121 02,Advanced Mod Std Arabic,LEC,El Nady Rabab,9/2/14,12/8/14,M,6:00 PM,6:50 PM,M086 334,Classroom,10,1
ARB 0121 02,Advanced Mod Std Arabic,LEC,El Nady Rabab,9/2/14,12/8/14,TR,4:30 PM,5:45 PM,M086 334,Classroom,10,1
ARCH 0026 01,Ancient Egypt,LEC,Harrington James Matthew,9/2/14,12/8/14,MW,4:30 PM,5:45 PM,M004 104,Classroom,41,1
ARCH 0030 01,Prehistoric Archaeology,LEC,Sullivan Lauren A.,9/2/14,12/8/14,MW,6:00 PM,7:15 PM,M009 104,Classroom,37,1
AST 0010 01,Wanderers Space-Exp&disc,LEC,Lang Kenneth R,9/2/14,12/8/14,MW,1:30 PM,2:45 PM,M151 302,Classroom,180,1
AST 0016 01,Special Topics,LEC,Sajina Anna,9/2/14,12/8/14,TR,1:30 PM,2:45 PM,M003 309,Classroom,6,1
AST 0121 01,Galactic Astronomy,LEC,Marchesini Danilo,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M022 152,Classroom,5,1
BIO 0001 01,Environ Pres & Improve,LEC,Ellmore George S,9/2/14,12/8/14,T,1:30 PM,4:00 PM,M004 114,Classroom,6,1
BIO 0004 01,Gross Anatomy,LEC,Sarikas Stephen,9/2/14,12/8/14,M,5:30 PM,8:15 PM,M013 113,Classroom,0,1
BIO 0004 02,Gross Anatomy,LEC,Pessina Monica A,9/2/14,12/8/14,R,9:30 AM,12:30 PM,M013 101,Classroom,14,1
BIO 0004 A,Gross Anatomy,LAB,Sarikas Stephen,9/2/14,12/8/14,T,6:00 PM,8:00 PM,M013 113,Classroom,0,1
BIO 0004 B,Gross Anatomy,LAB,Sarikas Stephen,9/2/14,12/8/14,W,6:00 PM,8:00 PM,M013 113,Classroom,0,1
BIO 0004 C,Gross Anatomy,LAB,Pessina Monica A,9/2/14,12/8/14,R,12:30 PM,1:30 PM,M013 113,Classroom,14,1
BIO 0007 01,Environmental Biology,LEC,Reed J Michael,9/2/14,12/8/14,TWF,9:30 AM,10:20 AM,M022 253,Classroom,55,1
BIO 0009 01,Physiology,LEC,Leavis Paul C,9/2/14,12/8/14,F,8:30 AM,11:30 AM,M013 113,Classroom,12,1
BIO 0009 01,Physiology,LEC,Leavis Paul C,9/2/14,12/8/14,T,2:30 PM,5:30 PM,M013 113,Classroom,12,1
BIO 0011 01,Kinesiology,LEC,Martens Jean L,9/2/14,12/8/14,M,8:30 AM,11:30 AM,M013 113,Classroom,6,1
BIO 0013 01,Cells & Organisms W/lab,LEC,McLaughlin Kelly A.,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M004 008,Classroom,197,1
BIO 0013 02,Cells & Organisms W/lab,LEC,McLaughlin Kelly A.,9/2/14,12/8/14,TR,12:00 PM,1:15 PM,M004 008,Classroom,206,1
BIO 0013 LA,Cells & Organisms W/lab,LAB,Gaudette Michelle,9/2/14,12/8/14,M,1:30 PM,4:30 PM,M004 200,Class Laboratory,32,1
BIO 0013 LB,Cells & Organisms W/lab,LAB,Gaudette Michelle,9/2/14,12/8/14,M,1:30 PM,4:30 PM,M004 216,Class Laboratory,28,1
BIO 0013 LC,Cells & Organisms W/lab,LAB,Gaudette Michelle,9/2/14,12/8/14,T,1:30 PM,4:30 PM,M004 200,Class Laboratory,28,1
BIO 0013 LD,Cells & Organisms W/lab,LAB,Gaudette Michelle,9/2/14,12/8/14,T,1:30 PM,4:30 PM,M004 216,Class Laboratory,28,1
BIO 0013 LE,Cells & Organisms W/lab,LAB,Gaudette Michelle,9/2/14,12/8/14,W,1:30 PM,4:30 PM,M004 200,Class Laboratory,31,1
BIO 0013 LF,Cells & Organisms W/lab,LAB,Gaudette Michelle,9/2/14,12/8/14,W,1:30 PM,4:30 PM,M004 216,Class Laboratory,32,1
BIO 0013 LG,Cells & Organisms W/lab,LAB,Gaudette Michelle,9/2/14,12/8/14,R,1:30 PM,4:30 PM,M004 200,Class Laboratory,30,1
BIO 0013 LH,Cells & Organisms W/lab,LAB,Gaudette Michelle,9/2/14,12/8/14,R,1:30 PM,4:30 PM,M004 216,Class Laboratory,29,1
BIO 0013 LI,Cells & Organisms W/lab,LAB,Gaudette Michelle,9/2/14,12/8/14,M,6:00 PM,9:00 PM,M004 200,Class Laboratory,29,1
BIO 0013 LJ,Cells & Organisms W/lab,LAB,Gaudette Michelle,9/2/14,12/8/14,M,6:00 PM,9:00 PM,M004 216,Class Laboratory,29,1
BIO 0013 LK,Cells & Organisms W/lab,LAB,Gaudette Michelle,9/2/14,12/8/14,T,6:00 PM,9:00 PM,M004 200,Class Laboratory,24,1
BIO 0013 LL,Cells & Organisms W/lab,LAB,Gaudette Michelle,9/2/14,12/8/14,T,6:00 PM,9:00 PM,M004 216,Class Laboratory,24,1
BIO 0013 LM,Cells & Organisms W/lab,LAB,Gaudette Michelle,9/2/14,12/8/14,W,6:00 PM,9:00 PM,M004 200,Class Laboratory,28,1
BIO 0013 LN,Cells & Organisms W/lab,LAB,Gaudette Michelle,9/2/14,12/8/14,W,6:00 PM,9:00 PM,M004 216,Class Laboratory,31,1
BIO 0013 R,Cells & Organisms W/lab,RCT,Koegel Susan L.,9/2/14,12/8/14,M,4:40 PM,5:30 PM,M004 008,Classroom,202,1
BIO 0040 01,Special Topics,LEC,Slonim Donna,9/2/14,12/8/14,W,6:00 PM,9:00 PM,M026 111A,Classroom,14,1
BIO 0041 01,General Genetics,LEC,Gaudette Michelle,9/2/14,12/8/14,TR,1:30 PM,2:45 PM,M004 008,Classroom,123,1
BIO 0041 RA,General Genetics,RCT,Gaudette Michelle,9/2/14,12/8/14,W,4:30 PM,5:20 PM,M004 008,Classroom,41,1
BIO 0041 RB,General Genetics,RCT,Gaudette Michelle,9/2/14,12/8/14,M,3:00 PM,3:50 PM,M004 104,Classroom,27,1
BIO 0041 RC,General Genetics,RCT,Gaudette Michelle,9/2/14,12/8/14,T,4:30 PM,5:20 PM,M004 104,Classroom,35,1
BIO 0041 RD,General Genetics,RCT,Gaudette Michelle,9/2/14,12/8/14,W,3:00 PM,3:50 PM,M004 104,Classroom,20,1
BIO 0049 A,Experiment In Physiology,LEC,Trimmer Barry,9/2/14,12/8/14,M,1:30 PM,5:00 PM,M004 001,Class Laboratory,12,1
BIO 0049 B,Experiment In Physiology,LEC,Trimmer Barry,9/2/14,12/8/14,T,1:30 PM,5:00 PM,M004 001,Class Laboratory,12,1
BIO 0049 R,Experiment In Physiology,RCT,Trimmer Barry,9/2/14,12/8/14,R,4:30 PM,5:25 PM,M004 114,Classroom,24,1
BIO 0051 R,Experiments In Ecology,RCT,Ellmore George S,9/2/14,12/8/14,T,4:30 PM,5:20 PM,M004 114,Classroom,0,1
BIO 0061 01,Biology of Aging,LEC,McVey Mitch,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M195 155,Lecture Room,49,1
BIO 0100 RC,Discussion Group,LEC,TBD,9/2/14,12/8/14,F,3:30 PM,5:30 PM,M004 104,Classroom,0,0
BIO 0100 RC,Discussion Group,LEC,TBD,9/2/14,12/8/14,M,12:00 PM,1:30 PM,M004 114,Classroom,0,0
BIO 0103 01,Developmental Biology,LEC,Ernst Susan G,9/2/14,12/8/14,TWF,9:30 AM,10:20 AM,M004 114,Classroom,18,1
BIO 0104 01,Immunology,LEC,Bernheim Harry,9/2/14,12/8/14,TR,3:00 PM,4:15 PM,M004 104,Classroom,52,1
BIO 0110 01,Endocrinology,LEC,Romero L Michael,9/2/14,12/8/14,MW,10:30 AM,11:45 AM,M003 206,Classroom,58,1
BIO 0115 01,General Physiology,LEC,Bernheim Harry,9/2/14,12/8/14,MW,1:30 PM,2:45 PM,M006 100,Classroom,81,1
BIO 0132 01,Biostatistics,LEC,Lewis Sara M.,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M004 104,Classroom,66,1
BIO 0135 01,Ecology of Animal Movement,LEC,Crone Elizabeth E.,9/2/14,12/8/14,MW,3:00 PM,4:15 PM,M004 114,Classroom,15,1
BIO 0142 01,Population/comm Ecology,LEC,Chew Frances Sze-Ling,9/2/14,12/8/14,WF,10:30 AM,11:45 AM,M004 114,Classroom,17,1
BIO 0168 01,Biotech Process Proj Lab,LEC,Yi Hyunmin,9/2/14,12/8/14,R,6:00 PM,9:30 PM,M028 135,Classroom,4,1
BIO 0172 01,Biochemistry II,LEC,Kritzer Joshua A.,9/2/14,12/8/14,MW,3:00 PM,4:15 PM,M009 104,Classroom,1,1
BIO 0172 RA,Biochemistry II,RCT,Kritzer Joshua A.,9/2/14,12/8/14,W,8:30 AM,9:20 AM,M196E 100,Classroom,1,1
BIO 0183 01,Darwinian Medicine Sem,LEC,Starks Philip T.B.,9/2/14,12/8/14,T,1:30 PM,4:00 PM,M004 113,Seminar Room,11,1
BIO 0196 01,Selected Topics,LEC,McLaughlin Kelly A.,9/2/14,12/8/14,M,10:30 AM,11:45 AM,M004 114,Classroom,1,1
BIO 0196 04,Selected Topics,LEC,Dopman Erik,9/2/14,12/8/14,R,1:30 PM,4:00 PM,M004 114,Classroom,8,1
BIO 0243 01,Top's/molecular/cell Bio,LEC,Ernst Susan G,9/2/14,12/8/14,W,1:30 PM,4:30 PM,M004 113,Seminar Room,7,1
BIO 0260 01,Teach Bio:pedagogy&pract,LEC,McLaughlin Kelly A.,9/2/14,12/8/14,M,10:30 AM,11:45 AM,M004 114,Classroom,11,1
BIO 0260 02,Teach Bio:pedagogy&pract,LEC,Gaudette Michelle,9/2/14,12/8/14,R,6:00 PM,9:00 PM,M004 114,Classroom,14,1
BIOE 0291 01,Bioengineer Seminar I,LEC,Panilaitis Bruce John Benson,9/2/14,12/8/14,W,4:30 PM,5:45 PM,M028 132,Seminar Room,9,0.5
BME 0003 01,Bme Soph Design/res I,LEC,Kaplan David L,9/2/14,12/8/14,R,1:30 PM,2:45 PM,M028 132,Seminar Room,15,0.5
BME 0005 01,Bme Junior Design/res I,LEC,Black III Lauren D.,9/2/14,12/8/14,R,10:30 AM,11:45 AM,M028 136,Classroom,20,0.5
BME 0007 01,Bme Senior Design/res,LEC,Omenetto Fiorenzo,9/2/14,12/8/14,F,12:00 PM,2:30 PM,R027 4745,Classroom,13,1
BME 0056 01,Quant Biomaterials Lab I,LEC,Georgakoudi Irene,9/2/14,12/8/14,W,9:00 AM,11:30 AM,M028 d,Conference Room,1,1
BME 0120 01,Project Study/human Sys A,LEC,Aurelio David,9/2/14,12/8/14,W,6:00 PM,7:15 PM,M003 210,Classroom,1,0
BME 0121 01,Quant Physiology I,LEC,Black III Lauren D.,9/2/14,12/8/14,MW,3:00 PM,4:15 PM,M028 135,Classroom,25,1
BME 0141 01,Analyt Tools Biomed Engn,LEC,Fantini Sergio,9/2/14,12/8/14,TR,3:00 PM,4:15 PM,M028 135,Classroom,21,1
BME 0143 01,Biological Systems Analysis,LEC,Prabakaran Sudhakaran,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M028 135,Classroom,4,1
BME 0153 01,Biomaterials & Regen Medicine,LEC,Marelli Benedetto,9/2/14,12/8/14,M,6:00 PM,9:00 PM,M028 136,Classroom,26,1
BME 0165 01,Prin Cntrl Release&drug,LEC,Barry Anthony,9/2/14,12/8/14,R,6:00 PM,9:00 PM,M028 136,Classroom,34,1
BME 0168 01,Biotech Process Proj Lab,LEC,Yi Hyunmin,9/2/14,12/8/14,R,6:00 PM,9:30 PM,M028 135,Classroom,0,1
BME 0175 01,Tissue Engr Research Lab,LEC,Panilaitis Bruce John Benson,9/2/14,12/8/14,W,6:00 PM,9:00 PM,M028 134,Classroom,19,1
BME 0215 01,Optics And Wave Motion,LEC,Cebe Peggy,9/2/14,12/8/14,MW,1:30 PM,2:45 PM,M028 134,Classroom,0,1
BME 0215 LA,Optics And Wave Motion,LAB,Cebe Peggy,9/2/14,12/8/14,T,3:00 PM,4:15 PM,M022 150,Class Laboratory,0,1
BME 0215 LB,Optics And Wave Motion,LAB,Cebe Peggy,9/2/14,12/8/14,W,3:00 PM,4:15 PM,M022 150,Class Laboratory,0,1
BME 0215 LC,Optics And Wave Motion,LAB,Cebe Peggy,9/2/14,12/8/14,W,4:30 PM,5:45 PM,M022 150,Class Laboratory,0,1
BME 0250 01,Prin Biomedical Engineer,LEC,Xu Qiaobing,9/2/14,12/8/14,TR,12:00 PM,1:15 PM,M028 134,Classroom,17,1
BME 0256 01,Quant Biomaterials Lab I,LEC,Georgakoudi Irene,9/2/14,12/8/14,W,9:00 AM,11:30 AM,M028 d,Conference Room,9,1
BME 0291 01,Graduate Seminar,LEC,Xu Qiaobing,9/2/14,12/8/14,M,10:00 AM,11:00 AM,M028 136,Classroom,53,0
CD 0001 01,Intro Child Development,LEC,Gidney Calvin L,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M007 001,Classroom,109,1
CD 0001 A,Intro Child Development,RCT,Gidney Calvin L,9/2/14,12/8/14,M,6:00 PM,6:50 PM,M010 333,Classroom,40,1
CD 0001 B,Intro Child Development,RCT,Gidney Calvin L,9/2/14,12/8/14,T,6:00 PM,6:50 PM,M004 114,Classroom,35,1
CD 0001 C,Intro Child Development,RCT,Gidney Calvin L,9/2/14,12/8/14,R,6:00 PM,6:50 PM,M012 157,Classroom,34,1
CD 0061 01,Personal & Soc Dev,LEC,Pott Martha,9/2/14,12/8/14,TR,12:00 PM,1:15 PM,M027 113,Classroom,58,1
CD 0061 A,Personal & Soc Dev,RCT,Pott Martha,9/2/14,12/8/14,T,7:30 PM,8:15 PM,M086 116,Classroom,23,1
CD 0061 B,Personal & Soc Dev,RCT,Pott Martha,9/2/14,12/8/14,W,6:00 PM,6:50 PM,M038 016,Classroom,23,1
CD 0061 C,Personal & Soc Dev,RCT,Pott Martha,9/2/14,12/8/14,R,7:30 PM,8:15 PM,M010 203,Classroom,12,1
CD 0062 01,Childhood Across Culture,LEC,Mistry Jayanthi,9/2/14,12/8/14,TR,1:30 PM,2:45 PM,M027 010,Classroom,45,1
CD 0064 01,Parent Child Relations,LEC,Casey Mary E.,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M012 157,Classroom,21,1
CD 0082 01,Soc Pol Children&fmly,LEC,Lippitt John,9/2/14,12/8/14,T,9:00 AM,11:30 AM,M011 117,Classroom,13,1
CD 0090 01,Exceptional Child,LEC,Vanderberg Laura E,9/2/14,12/8/14,R,6:00 PM,9:00 PM,M010 206,Classroom,36,1
CD 0099 01,Community Field Placement,LEC,Scarlett W George,9/2/14,12/8/14,W,10:30 AM,11:45 AM,M012 163,Seminar Room,11,1
CD 0100 01,Child Health Sem/Fieldwork,LEC,Modry-Mandell Kerri L,9/2/14,12/8/14,R,6:00 PM,8:00 PM,M012 163,Seminar Room,14,0.5
CD 0124 01,American Sign Language,LEC,Lipsky James S,9/2/14,12/8/14,M,1:30 PM,2:45 PM,M003 210,Classroom,17,1
CD 0124 01,American Sign Language,LEC,Lipsky James S,9/2/14,12/8/14,T,4:30 PM,5:45 PM,M003 210,Classroom,17,1
CD 0125 01,American Sign Lang II,LEC,Lipsky James S,9/2/14,12/8/14,R,5:00 PM,6:15 PM,M003 210,Classroom,11,1
CD 0125 01,American Sign Lang II,LEC,Lipsky James S,9/2/14,12/8/14,T,6:00 PM,7:15 PM,M003 210,Classroom,11,1
CD 0126 01,American Sign Lang III,LEC,Lipsky James S,9/2/14,12/8/14,R,6:30 PM,7:45 PM,M003 210,Classroom,10,1
CD 0126 01,American Sign Lang III,LEC,Lipsky James S,9/2/14,12/8/14,T,7:30 PM,8:45 PM,M003 210,Classroom,10,1
CD 0134 01,Early Chldhd Edu Prepracticum,LEC,Smith Cynthia M,9/2/14,12/8/14,M,1:30 PM,3:30 PM,M012 129,Classroom,5,0.5
CD 0136 01,Supervised Teaching II,LEC,Ballenger Cynthia,9/2/14,12/8/14,W,3:30 PM,5:30 PM,M012 129,Classroom,8,1
CD 0137 01,Sociocultural Foundations I,LEC,Mistry Jayanthi,9/2/14,12/8/14,W,1:20 PM,4:20 PM,M196E 100,Classroom,5,1
CD 0143 01,Special Topics,LEC,Fleary Sasha,9/2/14,12/8/14,W,9:00 AM,12:00 PM,M011 117,Classroom,11,0
CD 0143 02,Special Topics,LEC,Camara Kathleen A,9/2/14,12/8/14,F,1:30 PM,4:00 PM,M012 163,Seminar Room,7,0
CD 0143 03,Special Topics,LEC,Camara Kathleen A,9/2/14,12/8/14,W,6:00 PM,9:00 PM,M012 157,Classroom,7,0
CD 0143 04,Special Topics,LEC,Casey Mary E.,9/2/14,12/8/14,M,9:00 AM,12:00 PM,M012 163,Seminar Room,11,0
